SNE-NG,,,,,,,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Image,S/NVEC1,VECx,"STT
Microsoft,RDT,1.22.0718.1243,G,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
M+112:119icrosoft,Report Viewer 2012,11.1.3452.0,F,PLM Part Number,,,4,,,,,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Microsoft,RPS Core,4.0.1,G,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Microsoft,RPS Provisioning Service,1.0.0.0,G,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Microsoft,Sidewinder,1.0.0,G,PLM Part Number,,,2,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,RPS Task Management Service,1.0.0.0,G,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Microsoft,Thundercat,1.3.0,G,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Microsoft,VISIO Pro,2013 SP1,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2005 Redistributable,8.0.61001,,PLM Part Number,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2005 SP1 Redist(x64),8.0.56336,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2005 SP1 Redist(x86),8.0.56336,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2012 Redist(x64),11.0.61030.0,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2012 Redist(x86),11.0.61030.0,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2013 Redist(x64),12.0.21005.1,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2013 Redist(x64),12.0.40660.0,,PLM Part Number,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2013 Redist(x86),12.0.21005.1,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2015-2019 Redist(x64),14.27.29016,,PLM Part Number,,,3,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Microsoft,Visual C++ 2015-2019 Redist(x64),14.30.30704,,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2015-2019 Redist(x86),14.27.29016,,PLM Part Number,,,3,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Microsoft,WEB Grease,1.6.5.135.21930,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Microsoft,Windows Desktop Runtime,5.0.15.31016,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Mozilla,Firefox ESR ,91.13.0,F,PLM Part Number,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
NASA,Worldwind,2.1,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Geophysical Data Center (NOAA),Magnetic Declination,677,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netapp,OnCommand,3.1.2.6399,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newtonsoft,Json.NET,12.0.2,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
notepad-plus-plus.org,Notepad++,6.9.1,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSSH,OpenSSH,5.3-p1,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSSH,OpenSSH,7.4-p1,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSSH,OpenSSH,8.1p1-1,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palo Alto ,Panorama ,10.17.1,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palo Alto ,Next Generation Virtual Firewall (PanOS),10.17.1,G,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palo Alto ,Next Gen Virtual Firewall License,VM-100,G,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palo Alto ,Next Gen Virtual Firewall License,VM-300,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perl.org,Perl,5.8.0,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL,PostgreSQL,12.10,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Simon Tatham,PuTTy,0.77,F,PLM Part Number,,,4,,,,,3,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
CentOS,CentOS (64 Bit),7.90,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hat,Linux Enterprise Server (64 Bit),7.7,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openjdk.org,OpenJDK (64 Bit),8u342,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hat,open-vm-tools ,10.3.10-2,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF Linx,Tunable Antennafier,1.3,V,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverbed,Performance Enhancing Proxy (PEP),9.14.1,G,PLM Part Number,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverbed ,WinPcap,4.1.3,G,PLM Part Number,,,2,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverbed,Win10Pcap ,10.2.5002,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rxtx.org,RxTx,2.1,F,PLM Part Number,,,2,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC,SEC SIT Tool ,4QFY22 2.5.22.4,D,PLM Part Number,,,6,,,,,5,1,,,,,,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
Sencha,EXT JS,5.1.3,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Hound Spike,Spike,3.1.14.3,V,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SolarWinds Desktop Toolset,v2020.2.6 HF2,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SolarWinds Engineer's Toolset,2.5.22.3.00,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Netflow Traffic Analyzer,V2020.2.6,G,PLM Part Number,,,2,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Solarwinds Network Configuration Manager ENT  DL500,7.7,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Solarwinds Network Configuration Manager ENT Unlimited V2 DLX,7.7,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Solarwinds Orion Network Performance Monitor (NPM),V2020.2.6 HF3,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SFTP/SCP Server,2.2.0.120,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SFTP/SCP Server,1.1.0.16,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,TFTP Server,11.2.0,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,VoIP and Network Quality Manager (VNQM),4.4.1,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds License Keys,VLI1,NOV2021,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds License Keys,VLI2,NOV2021,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds License Keys,VLI3,NOV2021,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds License Keys,VLI4,NOV2021,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourceforge,Java Excel API,2.6.8,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourceforge,Jdiff,1.2.1,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourceforge,JFreeChart,1.0.11,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourceforge,JHotDraw,5.2,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourceforge,Sblim Cim Client  ,2-2.2.5,F,PLM Part Number,,,2,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourceforge,Tera Term,4.105,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSHTools,J2SSH Maverick,1.7.35,V,PLM Part Number,,,2,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Army,SECRenderer,Beta 1.0.0,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMware,VMWare Tools,12.0.6-20104755,G,PLM Part Number,,,5,,,,,5,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Vmware ,VMWare VIX,5.1.2.1422937,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMware,vSphere CLI,6.0.0.7357,G,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
VMware,"vSphere Enterprise Plus 7.0 (Hypervisor)
(ESXi)",7.0U3g,G,PLM Part Number,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
VMware,vSphere PowerCLI,12.3,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMware,vSphere PowerCLI,6.5.0.4624819,G,PLM Part Number,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
winmerge.org,WinMerge,2.14.0,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinSCP,WinSCP,5.21.2,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wireshark.org,Network Analyzer,3.6.2,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yWorks,yFiles Complete Bundle,2.13,V,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yWorks,yWorks HTML,1.1.1.6,V,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(GD),OE Software Bundle,2023Q1_B01,D,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) 3sp,J2SSH Maverick ,1.7.4,V,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Apache,Ant,1.9.5,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Apache,Axis2,1.6.0,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Apache,Log4j,1.2.17,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Apache,Muse,2.3.2,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Apache,Rampart,1.6,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Apache,Xerces2,2.11.0,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Azul,Azul OpenJDK (64 bit),"1.8.0_232-b18   /
8.42.0.21-CA-win64",F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) java.net,JAXB,2.1.7,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Microsoft,SQL Server Express,2017,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Microsoft,SQL Server JDBC Driver,6.4.0.jre8,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) NSS,Network Security Services for Java (JSS),4.3,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) NSPR,Netscape Portable Runtime (NSPR),4.8,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) NSS,Network Security Services (NSS),3.12.4,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Red Hat,JBOSS Enterprise Application Platform (EAP),6.4.4,G,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) RedHat,JBOSS HornetQ,2.3.25.Final,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) RedHat,Drools Business Rules Management System (BRMS),6.5.0,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Sourceforge,Docx4j,3.2.1,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Sourceforge,Dom4j,2.0.0-RC1,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Sourceforge,EHCache,2.10.2,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) spring.io,Spring Framework,4.1.7,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Bouncy Castle,Bouncy Castle,1.51,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Red Hat,Hibernate,3.3.1GA,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(NMS) RedHat,Hibernate Tools,3.2.0GA,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) TIBCO Software Inc,JasperReports,6.1.0,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Eclipse Foundation,Jetty,9.3.0,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Forgerock,OpenDJ,2.6.2,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) OpenSSL,OpenSSL,1.0.2t,F,PLM Part Number,,,4,,,,,4,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Quartz-Scheduler.org,Quartz,1.6.4,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) BEA Systems Inc.,Stax,1.2.0,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) xom.nu,XOM,1.2.5,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) saxon.sourceforge.net,XSLT 2.0 Processor (Saxon),9.7,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) wso2.com,WSO2 Identity Server,3.0.1,F,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOR KEY,,,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Item has been deleted from BOM, the item will be removed from the next version of the BOM.",,,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item has been updated since last baseline,,,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicates documentation error ,,,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not delivered for 1Q20 but in Sw Deployment ,,,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License Obtained by Unit not delivered on PDSS release Drive,,,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item has been merged,,,,PLM Part Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE Software Bundle,,,,PLM Part Number,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
